customer_id,age,job,marital,education,default,balance,housing,loan,duration,products,churn,location
1001,59,admin.,married,secondary,0,2343,1,0,1042,1,1,Achimota
1002,56,admin.,married,secondary,0,45,0,0,1467,1,1,Legon
1003,41,technician,married,secondary,0,1270,1,0,1389,1,1,Kisseman
1004,55,services,married,secondary,0,2476,1,0,579,1,1,Kwabenya
1005,54,admin.,married,tertiary,0,184,0,0,673,2,1,Abokobi
1006,42,management,single,tertiary,0,0,1,1,562,2,1,Adjen Kotoku
1007,56,management,married,tertiary,0,830,1,1,1201,1,1,Accra New Town
1008,60,retired,divorced,secondary,0,545,1,0,1030,1,1,Adabraka
1009,37,technician,married,secondary,0,1,1,0,608,1,1,Abossey Okai
1010,28,services,single,secondary,0,5090,1,0,1297,3,1,Kaneshie
1011,38,admin.,single,secondary,0,100,1,0,786,1,1,Abelemkpe
1012,30,blue-collar,married,secondary,0,309,1,0,1574,2,1,Madina
1013,29,management,married,tertiary,0,199,1,1,1689,4,1,Kokomlemle
1014,46,blue-collar,single,tertiary,0,460,1,0,1102,2,1,Dansoman
1015,31,technician,single,tertiary,0,703,1,0,943,2,1,Accra
1016,35,management,divorced,tertiary,0,3837,1,0,1084,1,1,Lapaz (Accra)
1017,32,blue-collar,single,primary,0,611,1,0,541,3,1,"Cantonments, Accra"
1018,49,services,married,secondary,0,-8,1,0,1119,1,1,Airport Residential Area
1019,41,admin.,married,secondary,0,55,1,0,1120,2,1,Kokrobite
1020,49,admin.,divorced,secondary,0,168,1,1,513,1,1,Labadi
1021,28,admin.,divorced,secondary,0,785,1,0,442,2,1,Lashibi
1022,43,management,single,tertiary,0,2067,1,0,756,1,1,Dawhenya
1023,43,management,divorced,tertiary,0,388,1,0,2087,2,1,Ada Kasseh
1024,43,blue-collar,married,primary,0,-192,1,0,1120,2,1,Kotobabi
1025,37,unemployed,single,secondary,0,381,1,0,985,2,1,Lartebiokorshie
1026,35,blue-collar,single,secondary,0,40,1,0,617,4,1,Akweteyman
1027,31,technician,single,tertiary,0,22,1,0,483,3,1,Haatso
1028,43,blue-collar,single,secondary,0,3,1,0,929,3,1,Abeka-Lapaz
1029,31,admin.,married,secondary,0,307,1,0,538,1,1,Airport City Accra
1030,28,blue-collar,single,secondary,0,759,1,0,710,1,1,Christian Village
1031,32,blue-collar,married,secondary,1,-1,1,0,653,1,1,Ablekuma
1032,60,technician,married,primary,0,65,1,0,1028,2,1,Kuntunse
1033,26,blue-collar,single,secondary,0,82,1,0,654,1,1,Chorkor
1034,40,blue-collar,married,secondary,0,10,1,0,1692,2,1,Adjei Kojo
1035,33,blue-collar,divorced,primary,0,390,1,0,665,2,1,East Legon
1036,32,management,single,tertiary,0,311,0,0,757,2,1,Kwashieman
1037,35,blue-collar,married,primary,0,414,0,0,504,4,1,Achimota
1038,33,management,divorced,secondary,0,5,1,0,1346,1,1,Adenta East
1039,38,management,married,tertiary,0,119,1,0,568,4,1,Darkuman
1040,23,entrepreneur,single,primary,0,4,1,0,395,2,1,"Labone, Accra"
1041,60,blue-collar,married,primary,0,1262,1,1,1015,1,1,Sakumono
1042,48,management,married,tertiary,0,1949,1,0,683,2,1,Ada Foah
1043,45,entrepreneur,divorced,tertiary,0,-395,1,0,470,1,1,Adenta
1044,36,blue-collar,married,secondary,0,1165,1,0,1001,4,1,Korle Gonno
1045,52,management,married,unknown,0,2240,1,0,845,1,1,Lashibi
